PMID|PaperTitle|Authors|PublicationDate|Abstract|Keywords
37798224|Life-Course Brain Health as a Determinant of Late-Life Mental Health: American Association for Geriatric Psychiatry Expert Panel Recommendations.|Eyre, Harris A; Stirland, Lucy E; Jeste, Dilip V; Reynolds, Charles F; Berk, Michael; Ibanez, Agustin; Dawson, Walter D; Lawlor, Brian; Leroi, Iracema; Yaffe, Kristine; Gatchel, Jennifer R; Karp, Jordan F; Newhouse, Paul; Rosand, Jonathan; Letourneau, Nicole; Bayen, Eleonore; Farina, Francesca; Booi, Laura; Devanand, Devangere P; Mintzer, Jacobo; Madigan, Sheri; Jayapurwala, Inez; Wong, Stephen T C; Falcoa, Veronica Podence; Cummings, Jeffrey L; Reichman, William; Lock, Sarah Lenz; Bennett, Marc; Ahuja, Rajiv; Steffens, David C; Elkind, Mitchell S V; Lavretsky, Helen; |2023 09 26|This position statement of the Expert Panel on Brain Health of the American Association for Geriatric Psychiatry (AAGP) emphasizes the critical role of life course brain health in shaping mental well-being during the later stages of life. Evidence posits that maintaining optimal brain health earlier in life is crucial for preventing and managing brain aging-related disorders such as dementia/cognitive decline, depression, stroke, and anxiety. We advocate for a holistic approach that integrates medical, psychological, and social frameworks with culturally tailored interventions across the lifespan to promote brain health and overall mental well-being in aging adults across all communities. Furthermore, our statement underscores the significance of prevention, early detection, and intervention in identifying cognitive decline, mood changes, and related mental illness. Action should also be taken to understand and address the needs of communities that traditionally have unequal access to preventive health information and services. By implementing culturally relevant and tailored evidence-based practices and advancing research in geriatric psychiatry, behavioral neurology, and geroscience, we can enhance the quality of life for older adults facing the unique challenges of aging. This position statement emphasizes the intrinsic link between brain health and mental health in aging, urging healthcare professionals, policymakers, and a broader society to prioritize comprehensive strategies that safeguard and promote brain health from birth through later years across all communities. The AAGP Expert Panel has the goal of launching further activities in the coming months and years.|Brain health; late-life; life-course; neurology; prevention; psychiatry; well-being; 
37793653|Shaping Policy and Practice: Analyzing the Reach of Highly Cited and High Altmetrics Publications for Broader Impact on Physical Activity.|Ramírez Varela, Andrea; Serrano, Natalicio; Mejía Grueso, Juliana; Nguyen, Anita; Salvo, Deborah; Brownson, Ross C; Bauman, Adrian; Reis, Rodrigo; Hallal, Pedro; Pratt, Michael; |2023 10 04|A significant gap remains between the availability of physical activity (PA) evidence-based interventions and their application in real-world settings in policy and practice areas. This study aims to describe highly cited and high altmetrics publications in PA research and explore their impact on PA policy and practice.|citations; dissemination; epidemiology; 
37784086|Rural libraries implementing walking groups or walking groups plus civic engagement for walkability in rural communities: a comparative effectiveness trial study protocol.|Perry, Cynthia K; Seguin-Fowler, Rebecca; Maddock, Jay E; Lenstra, Noah; Dieckmann, Nathan F; Currier, Jessica; Andreyeva, Elena; Winkle, Jim; Trost, Stewart G; |2023 10 02|Rural residents generally lack adequate physical activity to benefit health and reduce disparities in chronic diseases, such as cardiovascular disease and certain cancers. The Socioecological Model describes physical activity as involving a dynamic and reciprocal interaction between individual, social, and community factors. Community group-based walking programs and civic engagement interventions aimed at enhancing physical activity have been successful in rural communities but have not targeted all three socioecological levels. Public libraries can act as innovative public health partners in rural communities. However, challenges remain because rural libraries often lack the capacity to implement evidence-based health promotion programming. The goals of this study are (1) build the capacity for rural libraries to implement evidence-based health promotion programs, (2) compare changes in physical activity between a group-based walking program and a combined group-based walking and civic engagement program with rural residents, and (3) conduct an implementation evaluation.|Civic engagement; Comparative effectiveness trial; Physical activity; Rural; Walking; 
37777760|Saturated fat, the estimated absolute risk and certainty of risk for mortality and major cancer and cardiometabolic outcomes: an overview of systematic reviews.|Talukdar, Jhalok Ronjan; Steen, Jeremy P; Goldenberg, Joshua Z; Zhang, Qian; Vernooij, Robin W M; Ge, Long; Zeraatkar, Dena; Bała, Małgorzata M; Ball, Geoff D C; Thabane, Lehana; Johnston, Bradley C; |2023 09 30|To assess the impact of reducing saturated fat or fatty foods, or replacing saturated fat with unsaturated fat, carbohydrate or protein, on the risk of mortality and major cancer and cardiometabolic outcomes in adults.|Cancer; Cardiovascular disease; Nutrition; Saturated fatty acids; Systematic review; 
37751959|Integration of the social determinants of health into quality indicators for colorectal cancer surgery: a scoping review protocol.|Bondzi-Simpson, Adom; Ribeiro, Tiago; Benipal, Harsukh; Barabash, Victoria; Lofters, Aisha; Sutradhar, Rinku; Snyder, Rebecca A; Clarke, Callisia; Coburn, Natalie G; Hallet, Julie; |2023 09 26|Quality monitoring is a critical component of high-performing cancer care systems. Quality indicators (QIs) are standardised, evidence-based measures of healthcare quality that allow healthcare systems to track performance, identify gaps in healthcare delivery and inform areas of priority for strategic planning. Social structures and economic systems that allow for unequal access to power and resources that shape health and health inequities can be described through the social determinants of health (SDoH) framework. Therefore, granular analysis of healthcare quality through SDoH frameworks is required to identify patient subgroups who may experience health inequity. Given the high burden of disease of colorectal cancer (CRC) and well-defined cancer care pathways, CRC is often the first disease site targeted by health systems for quality improvement. The objective of this review is to examine how SDoH have been integrated into QIs for CRC surgery. This review aims to address three primary questions: (1) Have SDoH been integrated into the development, reporting and assessment of CRC surgery QIs? (2) When integrated, what measures and statistical methods have been applied? (3) In which direction do individual SDoH influence QIs outputs?|Colorectal surgery; HEALTH SERVICES ADMINISTRATION & MANAGEMENT; Health Equity; ONCOLOGY; Quality in health care; SURGERY; 
37743780|Developing a national implementation strategy to accelerate uptake of evidence-based family caregiver support in U.S. cancer centers.|Odom, J Nicholas; Young, Heather M; Sterba, Katherine; Sannes, Timothy S; Reinhard, Susan; Nightingale, Chandelyn; Meier, Diane; Gray, Tamryn F; Ferrell, Betty; Fernandez, Maria E; Donovan, Heidi; Curry, Kayleigh; Currie, Erin R; Bryant, Tara; Bakitas, Marie A; Applebaum, Allison J; |2023 09 25|Characterize key factors and training needs of U.S. cancer centers in implementing family caregiver support services.|cancer; dissemination; family caregiving; implementation; 
37558571|International Delphi Consensus Study on disposable single-use endoscopy: A path to clinical adoption.|Repici, Alessandro; Khalaf, Kareem; Troncone, Edoardo; Subramaniam, Sharmila; Hassan, Cesare; Bhandari, Pradeep; Bhandari, Pradeep; |2023 08 07|Increasing infectious rate estimates and low microbiological surveillance affect safety of gastrointestinal endoscopy globally. Single use endoscopes and accessories have been claimed to improve safety, but there is lack of data on their indication and sustainability. We aimed to identify a series of best practice recommendations for the use of single use endoscopes and accessories using a modified Delphi.|Delphi; Multi drug resistant organism; Single use endoscopy; Sustainability; 
37515085|Adaptation and Formative Evaluation of Online Decision Support to Implement Evidence-Based Strategies to Increase HPV Vaccination Rates in Pediatric Clinics.|Shegog, Ross; Savas, Lara S; Frost, Erica L; Thormaehlen, Laura C; Teague, Travis; Steffy, Jack; Healy, Catherine Mary; Shay, Laura Aubree; Preston, Sharice; Vernon, Sally W; |2023 07 21|Human papilloma virus (HPV) vaccination rates remain below national goals in the United States despite the availability of evidence-based strategies to increase rates. The Adolescent Vaccination Program (AVP) is a multi-component intervention demonstrated to increase HPV vaccination rates in pediatric clinics through the implementation of six evidence-based strategies. The purpose of this study, conducted in Houston, Texas, from 2019-2021, was to adapt the AVP into an online decision support implementation tool for standalone use and to evaluate its feasibility for use in community clinics. Phase 1 (Adaptation) comprised clinic interviews (n = 23), literature review, Adolescent Vaccination Program Implementation Tool (AVP-IT) design documentation, and AVP-IT development. Phase 2 (Evaluation) comprised usability testing with healthcare providers (HCPs) (n = 5) and feasibility testing in community-based clinics (n = 2). AVP-IT decision support provides an Action Plan with tailored guidance on implementing six evidence-based strategies (immunization champions, assessment and feedback, continuing education, provider prompts, parent reminders, and parent education). HCPs rated the AVP-IT as acceptable, credible, easy, helpful, impactful, and appealing (≥80% agreement). They rated AVP-IT supported implementation as easier and more effective compared to usual practice (p ≤ 0.05). The clinic-based AVP-IT uses facilitated strategy implementation by 3-month follow-up. The AVP-IT promises accessible, utilitarian, and scalable decision support on strategies to increase HPV vaccination rates in pediatric clinic settings. Further feasibility and efficacy testing is indicated.|HPV vaccination; decision support; digital health; feasibility; implementation; pediatrics; usability; 
37506435|Does Long-Term Bowel Function Change After Colectomy for Colon Malignancy?|Gray, Phillip J; Bastien, Amanda J; Eid, Mark A; Goldwag, Jenaya L; Wilson, Matthew Z; Ivatury, Srinivas J; |2023 07 26|Current understanding of bowel function after colectomy for colon cancer is informed by conflicting data, making preoperative patient counseling difficult. Our previous work demonstrates bowel movement frequency increases by postoperative follow-up, while overall function does not change. Long-term changes are unknown. We aimed to evaluate changes to patient-reported bowel function after colectomy for colon malignancy.|Colon cancer; Long-term; Patient-reported outcomes; Quality of life; 
37430416|Children's Oncology Group's 2023 blueprint for research: Behavioral science.|Embry, Leanne; Bingen, Kristin; Conklin, Heather M; Hardy, Steven; Jacola, Lisa M; Marchak, Jordan Gilleland; Paltin, Iris; Pelletier, Wendy; Devine, Katie A; |2023 07 10|As survival rates for childhood cancer have improved, there has been increasing focus on identifying and addressing adverse impacts of cancer and its treatment on children and their families during treatment and into survivorship. The Behavioral Science Committee (BSC) of the Children's Oncology Group (COG), comprised of psychologists, neuropsychologists, social workers, nurses, physicians, and clinical research associates, aims to improve the lives of children with cancer and their families through research and dissemination of empirically supported knowledge. Key achievements of the BSC include enhanced interprofessional collaboration through integration of liaisons into other key committees within COG, successful measurement of critical neurocognitive outcomes through standardized neurocognitive assessment strategies, contributions to evidence-based guidelines, and optimization of patient-reported outcome measurement. The collection of neurocognitive and behavioral data continues to be an essential function of the BSC, in the context of therapeutic trials that are modifying treatments to maximize event-free survival, minimize adverse outcomes, and optimize quality of life. In addition, through hypothesis-driven research and multidisciplinary collaborations, the BSC will also begin to prioritize initiatives to expand the systematic collection of predictive factors (e.g., social determinants of health) and psychosocial outcomes, with overarching goals of addressing health inequities in cancer care and outcomes, and promoting evidence-based interventions to improve outcomes for all children, adolescents, and young adults with cancer.|behavioral science; late effects; pediatric cancer; psychosocial; quality of life; supportive care; 
