Paper Title,Authors,Publication Date,Abstract,PubMed ID,DOI,Source,Publication Types,Keywords,MeSH Terms,Related Articles
Development of An Application-Based Digital Navigator For Perioperative Breast Surgery Patients,"Checka, Cristina, Ehlers, Richard, Bridges, Christian, Fitzsullivan, Elizabeth, Hunt, Kelly K., Miggins, Makesha, Refinetti, Ana, Piotrowski, Matthew",MAR 2023,No abstract,WOS:001046841200478,No DOI,Web of Science,Meeting Abstract,No keywords,No MeSH terms,No related articles
Community Health Workers to Increase Cancer Screening: 3 Community Guide Systematic Reviews,"Okasako-Schmucker, Devon L., Peng, Yinan, Cobb, Jamaicia, Buchanan, Leigh R., Xiong, Ka Zang, Mercer, Shawna L., Sabatino, Susan A., Melillo, Stephanie, Remington, Patrick L., Kumanyika, Shiriki K., Glenn, Beth, Breslau, Erica S., Escoffery, Cam, Fernandez, Maria E., Coronado, Gloria D., Glanz, Karen, Mullen, Patricia D., Vernon, Sally W.",APR 2023,No abstract,WOS:000956560500001,10.1016/j.amepre.2022.10.016,Web of Science,Review,No keywords,No MeSH terms,No related articles
"Ultrasmall, elementary and highly translational nanoparticle X-ray contrast media from amphiphilic iodinated statistical copolymers","Su, Lu, Dalby, Kellie S., Luehmann, Hannah, Elkassih, Sussana A., Cho, Sangho, He, Xun, Detering, Lisa, Lin, Yen -Nan, Kang, Nari, Moore, Dennis A., Laforest, Richard, Sun, Guorong, Liu, Yongjian, Wooley, Karen L.",APR 2023,No abstract,WOS:000985937900001,10.1016/j.apsb.2022.09.009,Web of Science,Article,"Amphiphilic statistical iodocopolymer, CT, X-ray contrast media, Ultrasmall nanoassembly, PET, Longitudinal tumor monitoring",No MeSH terms,No related articles
Integrating Breast Cancer Early Detection Into a Resource-Constrained Primary Health Care System: Health Care Workers' Experiences in Rwanda,"Uwimana, Aimable, Dessalegn, Sosina, Dusengimana, Jean-Marie Vianney, Stauber, Catherine, Fata, Amanda, Hagenimana, Marc, Uwinkindi, Francois, Balinda, Jean Paul, Shulman, Lawrence N., Revette, Anna, Rwamuza, Enock, Pace, Lydia E.",N/A 2022,No abstract,WOS:000974996000011,10.1200/GO.22.00181,Web of Science,Article,No keywords,No MeSH terms,No related articles
A practical method for integrating community priorities in planning and implementing cancer control programs,"Bilenduke, Emily, Dwyer, Andrea J. J., Staples, Elsa S. S., Kilbourn, Kristin, Valverde, Patricia A. A., Fernandez, Maria E. E., Risendal, Betsy C. C.",APR 18 2023,No abstract,WOS:000969393600001,10.1007/s10552-023-01688-w,Web of Science,"Article, Early Access","Community-engaged research, Implementation mapping, Hereditary cancer screening, Community advisory board",No MeSH terms,No related articles
Using Implementation Mapping to increase uptake and use of <i>Salud en Mis Manos</i>: A breast and cervical cancer screening and HPV vaccination intervention for Latinas,"Savas, Lara S. S., Loomba, Preena, Shegog, Ross, Alaniz, Angelita, Costa, Crystal, Adlparvar, Emily, Allicock, Marlyn A., Chenier, Roshanda, Goetz, Margaret, Markham, Christine M., Fernandez, Maria E.",MAR 15 2023,No abstract,WOS:000961892000001,10.3389/fpubh.2023.966553,Web of Science,Article,"Implementation Mapping, implementation strategy, health equity, community health workers, cancer prevention, cervical screening, mammography, HPV vaccination",No MeSH terms,No related articles
Stabilization of E-cadherin adhesions by COX-2/GSK3? signaling is a targetable in metastatic breast cancer,"Balamurugan, Kuppusamy, Poria, Dipak K., Sehareen, Saadiya W., Krishnamurthy, Savitri, Tang, Wei, McKennett, Lois, Padmanaban, Veena, Czarra, Kelli, Ewald, Andrew J., Ueno, Naoto T., Ambs, Stefan, Sharan, Shikha, Sterneck, Esta",MAR 22 2023,No abstract,WOS:000957382000001,10.1172/jci.insight.156057,Web of Science,Article,No keywords,No MeSH terms,No related articles
High-Resolution Ultrasound Characterization of Local Scattering in Cancer Tissue,"Khairalseed, Mawia, Hoyt, Kenneth",APR 2023,No abstract,WOS:000948955900001,10.1016/j.ultrasmedbio.2022.11.017,Web of Science,Article,"Acoustic scatterers, Cancer, Histologic analysis, H-Scan ultrasound, Tissue characterization, Ultrasound imaging",No MeSH terms,No related articles
Functionalized Thiophene-Based Aptasensors for the Electrochemical Detection of Mucin-1,"Haya, Grace, Runsewe, Damilola O., Otakpor, Mackenzie U., Pohlman, Gabriel E., Towne, Adelyne, Betancourt, Tania, Irvin, Jennifer A.",JAN 20 2023,No abstract,WOS:000924024400001,10.1021/acsapm.2c01739,Web of Science,"Article, Early Access","conducting polymer, aptamer, biosensor, electrochemical detection, mucin-1, cyclic voltammetry, PEDOT",No MeSH terms,No related articles
"""I Use Sunglasses . . . the Sun Can Ruin the Eyes"": Latino Day Laborers' Lay Strategies to Reduce Dangers at Work","Rangel, Maria Lizette, Arevalo, Mariana, Mercader, Clara, Fernandez-Esquer, Maria Eugenia",SEP 2023,No abstract,WOS:000889637800001,10.1177/15248399221135112,Web of Science,Article,"Latino day laborers, risk injury prevention, community-based participatory research, coping, protective factors",No MeSH terms,No related articles
